ID,FirstName,LastName,isSittingMP,Votes,PartyID
440,Calum,Kerr,0,20599,43
441,Cameron,Edwards,0,1727,8
442,Cameron,Gilmore,0,6702,26
443,Cameron,Glasgow,0,1421,20
444,Cameron,Matthews,0,12425,26
445,Cameron,Wixcey,0,872,37
446,Candace,Mictchell,0,348,12
447,Captain,Beany,0,731,23
448,Cara,Hilton,0,13028,27
449,Cara,Hunter,0,6158,46
450,Cara,McShane,0,5632,45
451,Carl,Benfield,0,2478,20
452,Carl,Feeney,0,1542,24
453,Carl,Greatbatch,0,16039,26
454,Carl,Johnson,0,933,20
455,Carl,McClean,0,2516,64
456,Carl,Williams,0,67,47
457,Carla,Burns,0,137,41
458,Carla,Denyer,0,18809,20
459,Carla,Lockhart,0,20501,18
460,Carlton,West,0,2071,29
461,Carol,Birch,0,1826,20
462,Carol,Monaghan,1,19678,43
463,Carol,Valinejad,0,226,12
464,Carol,Weaver,0,7970,29
465,Carolann,Davidson,0,6855,26
466,Carole,Ford,0,2786,29
467,Caroline,Ansell,0,26951,16
468,Caroline,Bellamy,0,58,14
469,Caroline,Coram,0,657,23
470,Caroline,Dinenage,1,32226,16
471,Caroline,Flint,1,15979,26
472,Caroline,Hollins,0,11557,16
473,Caroline,Jackson,0,1396,20
474,Caroline,Johnson,1,44683,16
475,Caroline,Jones,0,3188,29
476,Caroline,Kenyon,0,2422,29
477,Caroline,Lucas,1,33151,20
478,Caroline,Nokes,1,27862,16
479,Caroline,Russell,0,4326,20
480,Caroline,Shah,0,247,23
481,Caroline,Wheeler,0,751,23
482,Carolyn,Harris,1,17405,26
483,Carolyn,Webster,0,12922,16
484,Carolynn,Scrimgeour,0,916,20
485,Carralyn,Parkes,0,12871,26
486,Carrie,Harper,0,2151,37
487,Cass,Macgregor,0,1308,20
488,Cat,Smith,1,21184,26
489,Cate,Cody,0,2784,20
490,Cate,Mohr,0,863,20
491,Cath,Sutherland,0,1583,20
492,Catherine,Atkinson,0,16954,26
493,Catherine,Cui,0,1493,8
494,Catherine,Linstrum,0,669,20
495,Catherine,McKinnell,1,21354,26
496,Catherine,Minnis,0,11201,26
497,Catherine,Mulhern,0,4225,16
498,Catherine,Rose,0,1931,20
499,Catherine,Ross,0,2668,20
500,Catherine,Rowett,0,2469,20
501,Catherine,West,1,35126,26
502,Cathy,Cordiner-Achenbach,0,14324,26
503,Catriona,MacDonald,0,12650,43
504,Celia,Foote,0,176,3
505,Celia,Hibbert,0,14420,26
506,Celia,Hickson,0,1301,20
507,Chaka,Artwell,0,143,23
508,Chandra,Kanneganti,0,10390,16
509,Chantelle,Seddon,0,4776,29
510,Charles,Bunker,0,896,8
511,Charles,Dundas,0,3457,29
512,Charles,Kennedy,0,14285,16
513,Charles,Rowley,0,10358,16
514,Charles,Shaw,0,304,28
515,Charles,Walker,1,30631,16
516,Charley,Hasted,0,2941,29
517,Charlie,Allen,0,802,20
518,Charlie,Briggs,0,1162,10
519,Charlotte,Cane,0,2397,29
520,Charlotte,Cornell,0,16552,26
521,Charlotte,Hoagland,0,18679,29
522,Charlotte,Holloway,0,13934,27
523,Charlotte,Lang,0,6518,16
524,Charlotte,Nichols,0,20611,26
525,Charlotte,Sabel,0,150,23
526,Charlynne,Pullen,0,24683,26
527,Chelsea-Marie,Annett,0,1285,29
528,Cherilyn,Mackrory,0,27237,16
529,Cheryl,Gillan,1,30850,16
530,Cheryl,McDonald,0,1936,26
531,Cheryl,Pidgeon,0,21122,26
532,Chi,Onwurah,1,21568,26
533,Chidi,Ngwaba,0,839,8
534,Chika,Amadi,0,187,12
535,Chloe,Buckley,0,938,20
536,Chloe,Hopkins,0,12802,26
537,Chloe,Hutchinson,0,1409,29
538,Chloe,Smith,1,23397,16
539,Chloe-Jane,Ross,0,8194,29
540,Chris,Allen,0,2137,37
541,Chris,Altree,0,18087,26
542,Chris,Bell,0,1107,20
543,Chris,Bowers,0,11388,29
544,Chris,Brown,0,8744,29
545,Chris,Bryant,1,16115,26
546,Chris,Butler,0,1311,8
547,Chris,Carubia,0,2917,29
548,Chris,Clarkson,0,20453,16
549,Chris,Coghlan,0,2754,29
550,Chris,Coleman,0,4940,29
551,Chris,Copeman,0,964,20
552,Chris,Elmore,1,17602,26
553,Chris,Evans,0,583,20
554,Chris,Evans,1,15356,27
555,Chris,Fewtrell,0,3280,29
556,Chris,Grayling,1,31819,16
557,Chris,Green,0,3867,8
558,Chris,Green,1,27255,16
559,Chris,Hazzard,1,16137,45
560,Chris,Heaton-Harris,1,37055,16
561,Chris,Holmes,0,823,61
562,Chris,Jordan,0,2077,20
563,Chris,Law,1,22355,43
564,Chris,Leslie,1,1447,57
565,Chris,Loder,0,33589,16
566,Chris,Lofts,0,7891,29
567,Chris,Loynes,0,703,20
568,Chris,Lucas,0,8596,29
569,Chris,Marsden,0,28,48
570,Chris,McCaw,0,5921,2
571,Chris,McFarling,0,4681,20
572,Chris,McHugh,0,550,5
573,Chris,Nelson,0,3367,29
574,Chris,Ostrowski,0,21988,26
575,Chris,Peace,0,16021,26
576,Chris,Philp,1,30985,16
577,Chris,Rigby,0,2212,20
578,Chris,Simpson,0,663,20
579,Chris,Skidmore,1,27712,16
580,Chris,Southall,0,1225,20
581,Chris,Spalding,0,587,23
582,Chris,Stanbra,0,3923,29
583,Chris,Stephens,1,17643,43
584,Chris,Stevens,0,2138,8
585,Chris,Vince,0,14092,26
586,Chris,Webb,0,13768,26
587,Chris,Williamson,1,635,23
588,Christian,Lucas,0,1475,8
589,Christian,Matheson,1,27082,26
590,Christian,Wakeford,0,22034,16
591,Christina,Morgan-Danvers,0,1582,29
592,Christina,Rees,1,15920,27
593,Christine,Bayliss,0,11531,26
594,Christine,Gilligan Kubo,0,1179,20
595,Christine,Jardine,1,21766,29
596,Christine,Roach,0,2991,8
597,Christine,West,0,739,20
598,Christopher,Bain,0,10908,27
599,Christopher,Barker,0,2378,8
600,Christopher,Boyle,0,3241,29
601,Christopher,Bramall,0,2523,29
602,Christopher,Camp,0,488,23
603,Christopher,Chope,1,33894,16
604,Christopher,Garghan,0,579,20
605,Christopher,Howarth,0,13095,16
606,Christopher,Pincher,1,30542,16
607,Christopher,Ruane,1,15443,26
608,Christopher,Wilson,0,1675,29
